Index,QQQ.Open,QQQ.High,QQQ.Low,QQQ.Close,QQQ.Volume,QQQ.Adjusted
3/10/99,22.79791407,22.81184923,22.42166488,22.77004376,5232000,45.540077
3/11/99,22.93726563,23.06963756,22.43560004,22.88152501,9688600,45.763054
3/12/99,22.79791407,22.81184923,22.14296177,22.32411879,8743600,44.648235
3/15/99,22.49134066,22.99300625,22.25444302,22.96513594,6369000,45.930275
3/16/99,23.06268202,23.2577742,22.81184923,23.16022811,4905800,46.32045
3/17/99,23.16022811,23.18809842,22.92333047,22.99300625,3965000,45.986023
3/18/99,22.96513594,23.45286637,22.95815632,23.43893122,4848400,46.87785
3/19/99,23.74550463,23.74550463,22.82578438,22.83971954,7160400,45.67944
3/22/99,22.93726563,22.99300625,22.51921097,22.56101643,5024800,45.12204
3/23/99,22.43560004,22.51921097,21.72490712,21.76671258,10962400,43.533428
3/24/99,21.96180476,22.51921097,21.62736103,22.50527581,8447000,45.010551
3/25/99,22.85365469,23.32744998,22.70384665,23.32744998,8133800,46.654907
3/26/99,23.1323578,23.39712575,22.97907109,23.07661718,8256200,46.153233
3/29/99,23.35532029,23.92666165,23.21596873,23.9127265,5113800,47.825436
3/30/99,23.88485619,24.07994836,23.64795855,23.74550463,4940600,47.491001
3/31/99,24.13568898,24.16355929,23.32744998,23.39712575,8256600,46.794254
4/1/99,24.07994836,24.10781867,23.49467184,23.88485619,8715800,47.769707
4/5/99,24.27153958,24.78366166,24.12175383,24.74883582,5697200,49.497662
4/6/99,24.72096551,25.06934439,24.51193818,24.79759682,7522400,49.595177
4/7/99,25.02753892,25.08327954,24.01027258,24.53980849,11923600,49.079594
4/8/99,24.49800302,24.85333744,23.99633743,24.73490066,7952400,49.469791
4/9/99,24.69309519,24.94392799,24.62341942,24.88818737,4946800,49.776363
4/12/99,24.30291085,24.88818737,24.27504054,24.72096551,10934000,49.441929
4/13/99,24.87425221,24.92999283,24.1914296,24.38652178,9962200,48.773041
4/14/99,24.69309519,24.72096551,23.41453957,23.55041246,21253800,47.100822
4/15/99,23.63402339,23.90922554,22.79791407,23.87092103,17650600,47.741829
4/16/99,23.81518041,23.81518041,23.04874687,23.17416327,17274000,46.348324
4/19/99,23.32744998,23.52254215,21.85380217,22.08722115,19460600,44.174442
4/20/99,21.98967507,22.77004376,21.78064774,22.58888674,17413600,45.177765
4/21/99,22.79791407,23.71763432,22.49134066,23.70369917,10940400,47.407394
4/22/99,23.92666165,24.41439209,23.76987399,24.34471631,13630600,48.689426
4/23/99,24.21929991,24.8463819,23.96846712,24.66522488,7064400,49.330452
4/26/99,24.83244675,25.41772327,24.75231448,25.23306529,5421000,50.466114
4/27/99,25.41772327,25.54313967,24.52935199,24.8463819,16482800,49.692764
4/28/99,24.63735457,24.72096551,23.88833485,23.99633743,7676800,47.992664
4/29/99,23.88485619,24.02420774,23.29957966,23.80124526,19148200,47.602478
4/30/99,24.13568898,24.26110538,23.10448749,23.95453196,15295200,47.909061
5/3/99,23.88485619,23.98240227,23.42847472,23.82911557,11109800,47.658218
5/4/99,23.87092103,24.24717022,23.31351482,23.45286637,15428400,46.905727
5/5/99,23.46680153,24.16355929,22.75610861,24.16355929,12642600,48.327114
5/6/99,23.94059681,24.14962414,23.06268202,23.28564451,15173400,46.571293
5/7/99,23.49467184,23.68976401,22.99300625,23.62008824,16430400,47.240177
5/10/99,23.77337494,24.01722812,23.49467184,23.85698588,10604200,47.713963
5/11/99,24.05207805,24.35865147,23.9127265,24.23323507,8800800,48.466457
5/12/99,24.34471631,24.81851159,23.63402339,24.73490066,12507400,49.469791
5/13/99,24.92999283,24.9717983,24.16355929,24.27504054,9864000,48.550068
5/14/99,23.80124526,24.07994836,23.63402339,23.81518041,12205400,47.630363
5/17/99,23.60615308,24.316846,23.3727341,24.24366927,9906800,48.487339
5/18/99,24.21929991,24.35865147,23.85698588,24.13568898,9267800,48.27137
5/19/99,24.23323507,24.48406787,23.85698588,24.47013271,7985600,48.940258
5/20/99,24.52237237,24.52237237,23.75943979,23.7977443,5997200,47.59547
5/21/99,23.87092103,23.94059681,23.45286637,23.57828277,10958600,47.156551
5/24/99,23.62008824,23.6618937,22.82578438,22.97907109,9569800,45.958134
5/25/99,22.95120078,23.28564451,22.12902662,22.22657271,17771200,44.45314
5/26/99,22.51921097,22.93726563,21.8224532,22.84667508,26772000,45.693359
5/27/99,22.75610861,23.15672715,22.46347035,22.82578438,23334800,45.651558
5/28/99,22.96513594,23.32744998,22.67249768,23.20203358,12969800,46.404064
6/1/99,23.16022811,23.27170935,22.56101643,22.68643283,6960200,45.37286
6/2/99,22.67249768,23.18809842,22.10463497,23.06963756,11996600,46.139275
6/3/99,23.24383904,23.24383904,22.6028219,22.74217345,11147800,45.484352
6/4/99,22.90939532,23.51904119,22.90939532,23.43893122,12987200,46.87785
6/7/99,23.60265212,24.0764474,23.55041246,23.92666165,11491800,47.853321
6/8/99,23.98240227,24.09388352,23.20551224,23.32744998,8134800,46.654907
6/9/99,23.41106091,23.78380914,23.39712575,23.71763432,8384400,47.435261
6/10/99,23.46680153,23.60615308,23.16370677,23.44588676,9392400,46.891773
6/11/99,23.60615308,23.63052243,22.88152501,23.09055233,16567600,46.181103
6/14/99,23.17416327,23.17416327,22.6028219,22.65506156,14136800,45.31012
6/15/99,22.71080218,23.12885684,22.64462737,22.99300625,9147800,45.986023
6/16/99,23.56434762,24.17399349,23.5364773,24.17399349,15060200,48.34798
6/17/99,23.85698588,24.55374364,23.85698588,24.4422624,16278200,48.884518
6/18/99,24.21929991,24.62341942,24.17749445,24.55374364,5392800,49.107479
6/21/99,24.72096551,25.30274107,24.67916004,25.28880592,10565200,50.577606
6/22/99,25.13902016,25.45952874,24.52587333,24.52587333,10862800,49.051754
6/23/99,24.52935199,24.9717983,24.37258662,24.91255672,9607000,49.8251
6/24/99,24.90212252,24.91605768,24.30291085,24.41787075,14988800,48.835728
6/25/99,24.58161395,24.77670613,24.16355929,24.38652178,8635600,48.773041
6/28/99,24.59554911,24.99966861,24.39347732,24.96481868,7666200,49.92963
6/29/99,24.94392799,25.40378812,24.81851159,25.30624203,9000400,50.612465
