Date,"""SPY.Open""","""SPY.High""","""SPY.Low""","""SPY.Close""","""SPY.Volume""","""SPY.Adjusted"""
10/19/07,124.1824971,126.9323741,121.4001796,121.4082864,297169900,121.40831
10/22/07,120.7512386,122.2924628,120.5890064,122.114003,261989800,122.114021
10/23/07,122.8602937,123.2577605,121.8787685,123.1036359,180085100,123.103607
10/24/07,122.6575004,123.0874206,120.7350111,122.8765083,326694200,122.876488
10/25/07,123.0144061,123.5335561,121.5786385,123.1685306,237374500,123.168549
10/26/07,124.1581635,124.612418,123.2171994,124.612418,176484000,124.612381
10/29/07,124.8638801,125.2775857,124.5556424,125.0261244,106841000,125.026085
10/30/07,124.4745202,124.7178746,124.0040381,124.1581635,132981600,124.158157
10/31/07,124.9044412,125.950861,123.9797038,125.4479256,220954400,125.447937
11/1/07,124.3447293,124.442079,122.1545641,122.5114828,333040800,122.511452
11/2/07,122.9170693,123.2983215,121.0351541,122.6493806,331228200,122.649353
11/5/07,121.3839521,122.6169393,120.8404677,121.7165363,226841000,121.716522
11/6/07,122.3735849,123.3875514,121.594853,123.3551093,177800500,123.355072
11/7/07,122.032893,122.5926049,119.6886034,119.9806265,306639700,119.980614
11/8/07,120.0455212,120.3780933,117.6768972,119.3722467,374509900,119.372246
11/9/07,118.1798205,119.6804835,117.5308795,117.7336728,277745100,117.73365
11/12/07,117.7904614,118.926099,116.5655818,116.5655818,243087800,116.565567
11/13/07,117.9202394,120.3050909,117.7985683,120.1185243,191117400,120.1185
11/14/07,121.0432609,121.1892664,119.0639968,119.7859401,230558800,119.785889
11/15/07,118.8936569,119.6399346,117.2307495,118.0581372,263111100,118.058105
11/16/07,118.6827446,118.8125347,117.2713106,118.2609305,308770600,118.260933
11/19/07,117.847237,117.9121325,116.1518876,116.6142506,267746000,116.61422
11/20/07,116.8251629,118.0500303,115.2758197,117.3280862,414767500,117.328041
11/21/07,116.0626585,116.7359339,114.9189011,114.9270088,259012400,114.926987
11/23/07,116.0545508,117.0847318,115.7544086,116.9143928,77688400,116.914375
11/26/07,117.157735,117.5227726,114.0996211,114.3348556,214232000,114.334846
11/27/07,114.9756889,116.1843296,114.3348556,115.6489642,293897900,115.648964
11/28/07,116.9630607,119.6237079,116.9224996,119.3479123,258596900,119.347885
11/29/07,118.9342058,119.8265012,118.5124047,119.3884612,199409900,119.388412
11/30/07,120.8972433,121.5705186,119.5101445,120.5890064,222908000,120.588951
12/3/07,120.2077534,120.4186544,119.4776902,119.7940478,146430400,119.794029
12/4/07,118.9666601,119.6804835,118.6827446,118.7233057,136533900,118.723297
12/5/07,119.9968411,121.0270342,119.9157311,120.7106775,171130000,120.710617
12/6/07,120.564672,122.6575004,120.5160033,122.4384796,154457400,122.438469
12/7/07,122.8278395,122.892735,122.1221229,122.414146,148980100,122.414108
12/10/07,122.7142761,123.5011148,122.3735849,123.363217,123914300,123.36319
12/11/07,123.411885,124.0202649,119.9157311,119.9806265,250346400,119.980614
12/12/07,122.5358171,123.111755,119.4046879,121.1649321,322435600,121.164856
12/13/07,120.31321,121.1811588,119.4858101,120.9134708,237551300,120.913475
12/14/07,119.9968411,120.9459242,119.3235779,119.3803535,159152900,119.380363
12/17/07,118.926099,119.1369991,117.5065459,117.6768972,177269400,117.676826
12/18/07,118.5124047,118.8206424,116.776495,118.3339458,245569300,118.333931
12/19/07,118.3826138,119.1532258,117.5714406,118.3339458,198917200,118.333931
12/20/07,119.1126648,119.1288923,117.7661149,119.0802235,214813800,119.080215
12/21/07,120.1770353,121.03329,119.9487022,120.796807,146084400,120.796822
12/24/07,121.3594887,121.8976954,121.0822171,121.6938258,45601400,121.69381
12/26/07,121.2208467,122.0607886,121.0985299,121.9547846,67093100,121.954742
12/27/07,121.5225819,121.5307326,120.1362712,120.4216813,122981700,120.421646
12/28/07,121.1311433,121.1882333,119.7937597,120.1199584,116398100,120.119957
12/31/07,119.9568651,120.372755,119.1087612,119.2310903,108126800,119.231087
1/2/08,119.4920368,119.8671617,117.3310241,118.1872666,204935600,118.187241
1/3/08,118.170966,118.6439442,117.4859667,118.1301896,125133300,118.130196
1/4/08,116.8906585,116.9722112,114.9090527,115.2352392,232330900,115.235207
1/7/08,115.6429783,115.9854776,114.2485169,115.137385,234991000,115.137352
1/8/08,115.8631607,116.5318464,112.8948197,113.2780961,326365700,113.278084
1/9/08,113.4248757,114.8111864,112.2913616,114.4686871,301824900,114.468658
1/10/08,113.9060054,116.4503059,113.6532088,115.2189255,335701200,115.218918
1/11/08,114.8030365,115.7163681,113.3514859,114.2892811,267076600,114.289261
1/14/08,115.1129223,115.6837547,114.4931506,115.2107756,170365500,115.210793
1/15/08,113.9957081,115.382031,112.4544548,112.6746373,239940100,112.674622
1/16/08,112.0141023,113.4493392,111.1333841,111.7042164,378802600,111.704193
1/17/08,112.3810651,112.4381543,108.4015268,108.809266,397892600,108.809265
1/18/08,109.8775523,110.1058855,106.9092121,107.6920647,348561500,107.692047
1/22/08,103.7369957,107.9937876,102.7502678,106.5993263,435923700,106.599312
1/23/08,103.6391359,109.4290368,103.4352663,109.1599282,511913000,109.159904
1/24/08,109.6655206,110.4646984,108.7114126,110.0814219,259949300,110.081406
1/25/08,111.3209408,111.5248104,108.1324296,108.4912294,269603900,108.491234
1/28/08,108.6706363,110.5136246,107.6920647,110.2852915,217934600,110.285255
1/29/08,110.9866037,111.2720137,109.9917193,110.8316612,168968300,110.831635
1/30/08,110.5625517,112.9763602,109.7633862,110.0161828,334939200,110.016167
1/31/08,108.7848024,112.9763602,108.6217092,112.0222522,343680800,112.022232
2/1/08,112.4870805,113.8489285,112.1445812,113.8244649,206843600,113.824463
